[INFO] [1785744584.990091363] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785744590.989544349] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785744594.989716884] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785744598.989805404] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744602.991536593] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785744606.990169225] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744611.989580490] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785744621.989719314] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744623.989556525] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744642.989736325] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785744651.990173277] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744658.990061651] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785744663.989651549] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744668.989421095] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785744687.989471709] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785744715.989739495] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744746.989858335] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785744753.989969627] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744767.991190294] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785744801.989245734] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785744804.989735989] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785744809.989713367] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744882.989421277] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744888.990447720] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744893.990079173] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744896.989710975] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744899.989525570] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744902.989847913] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785744915.991557294] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785744918.989072998] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744936.989774209] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744940.989709708] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744946.989813338] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744965.989605439] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745023.989765977] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745027.989253281] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785745029.989552942] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745033.989585274] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785745037.991638819] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785745039.989402104] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785745043.990179103] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785745050.989849643] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785745052.989748883] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
